seniority,function,count
Founder/Owner,Executive/General,17
Manager,Other,14
Head/Director,Other,13
C-Level,Sales/Revenue,13
C-Level,Finance,12
Head/Director,Marketing,11
Manager,Marketing,11
Head/Director,Sales/Revenue,8
IC,Marketing,7
C-Level,Marketing,6
IC,Sales/Revenue,6
IC,Consulting/Advisory,5
IC,Finance,5
Manager,Finance,4
Founder/Owner,Consulting/Advisory,4
VP,Other,3
IC,HR/Talent,3
Unknown,Sales/Revenue,3
C-Level,Eng/IT/Product,3
C-Level,Other,3
Founder/Owner,Eng/IT/Product,2
IC,Eng/IT/Product,2
C-Level,Executive/General,2
Head/Director,Finance,2
VP,Sales/Revenue,2
Unknown,Finance,2
Manager,Sales/Revenue,2
Unknown,Marketing,2
Head/Director,HR/Talent,1
Head/Director,Eng/IT/Product,1
Founder/Owner,Operations,1
Unknown,Other,1
